Date,Maximum,Minimum,Average,Precipitation,Weekday,weekday_num,Dispatched_calls
2017-09-22,70,57,63.5,0.0,Friday,4,342
2017-09-23,77,54,65.5,0.0,Saturday,5,359
2017-09-24,79,54,66.5,0.0,Sunday,6,356
2017-09-25,82,56,69.0,0.0,Monday,0,334
2017-09-26,88,59,73.5,0.0,Tuesday,1,409
2017-09-27,87,62,74.5,0.0,Wednesday,2,380
2017-09-28,81,58,69.5,0.0,Thursday,3,378
2017-09-29,68,57,62.5,,Friday,4,325
2017-09-30,72,57,64.5,0.0,Saturday,5,363
2017-10-01,73,56,64.5,0.0,Sunday,6,318
2017-10-02,74,54,64.0,0.0,Monday,0,367
2017-10-03,73,53,63.0,0.0,Tuesday,1,335
2017-10-04,76,52,64.0,0.0,Wednesday,2,347
2017-10-05,79,50,64.5,0.0,Thursday,3,372
2017-10-06,84,53,68.5,0.0,Friday,4,362
2017-10-07,77,54,65.5,0.0,Saturday,5,410
2017-10-08,79,53,66.0,0.0,Sunday,6,388
2017-10-09,79,60,69.5,0.0,Monday,0,404
2017-10-10,76,53,64.5,0.0,Tuesday,1,330
2017-10-11,66,51,58.5,0.0,Wednesday,2,342
2017-10-12,69,50,59.5,0.0,Thursday,3,336
2017-10-13,73,50,61.5,0.0,Friday,4,339
2017-10-14,77,52,64.5,0.0,Saturday,5,365
2017-10-15,81,52,66.5,0.0,Sunday,6,360
2017-10-16,83,56,69.5,0.0,Monday,0,398
2017-10-17,78,50,64.0,0.0,Tuesday,1,312
2017-10-18,63,48,55.5,0.0,Wednesday,2,336
2017-10-19,67,54,60.5,0.19,Thursday,3,354
2017-10-20,64,54,59.0,0.02,Friday,4,305
2017-10-21,68,51,59.5,0.0,Saturday,5,358
2017-10-22,73,52,62.5,0.0,Sunday,6,323
2017-10-23,83,56,69.5,0.0,Monday,0,389
2017-10-24,91,64,77.5,0.0,Tuesday,1,424
2017-10-25,83,62,72.5,0.0,Wednesday,2,392
2017-10-26,86,61,73.5,0.0,Thursday,3,385
2017-10-27,80,54,67.0,0.0,Friday,4,382
2017-10-28,67,52,59.5,0.0,Saturday,5,387
2017-10-29,63,53,58.0,0.0,Sunday,6,382
2017-10-30,62,55,58.5,0.0,Monday,0,340
2017-10-31,66,52,59.0,0.0,Tuesday,1,330
2017-11-01,67,50,58.5,0.0,Wednesday,2,342
2017-11-02,66,50,58.0,0.0,Thursday,3,358
2017-11-03,68,58,63.0,0.03,Friday,4,349
2017-11-04,61,50,55.5,0.45,Saturday,5,358
2017-11-05,60,46,53.0,0.0,Sunday,6,324
2017-11-06,63,51,57.0,0.0,Monday,0,349
2017-11-07,64,46,55.0,0.0,Tuesday,1,332
2017-11-08,65,52,58.5,0.13,Wednesday,2,331
2017-11-09,68,59,63.5,0.03,Thursday,3,367
2017-11-10,65,55,60.0,0.01,Friday,4,354
2017-11-11,64,54,59.0,0.0,Saturday,5,383
2017-11-12,63,50,56.5,0.0,Sunday,6,361
2017-11-13,67,55,61.0,,Monday,0,327
2017-11-14,64,52,58.0,0.0,Tuesday,1,330
2017-11-15,65,54,59.5,0.12,Wednesday,2,318
2017-11-16,63,53,58.0,1.6,Thursday,3,327
2017-11-17,61,51,56.0,0.01,Friday,4,398
2017-11-18,62,43,52.5,0.0,Saturday,5,388
2017-11-19,59,46,52.5,0.0,Sunday,6,351
2017-11-20,63,55,59.0,0.0,Monday,0,357
2017-11-21,66,55,60.5,0.0,Tuesday,1,356
2017-11-22,68,54,61.0,0.0,Wednesday,2,380
2017-11-23,67,57,62.0,0.0,Thursday,3,246
2017-11-24,69,56,62.5,0.0,Friday,4,337
2017-11-25,68,56,62.0,0.0,Saturday,5,343
2017-11-26,67,53,60.0,0.18,Sunday,6,295
2017-11-27,60,50,55.0,0.21,Monday,0,366
2017-11-28,60,46,53.0,0.0,Tuesday,1,333
2017-11-29,64,48,56.0,0.0,Wednesday,2,332
2017-11-30,65,46,55.5,0.0,Thursday,3,317
2017-12-01,60,46,53.0,0.0,Friday,4,365
2017-12-02,58,48,53.0,0.01,Saturday,5,349
2017-12-03,57,49,53.0,0.02,Sunday,6,296
2017-12-04,62,51,56.5,0.0,Monday,0,324
2017-12-05,66,47,56.5,0.0,Tuesday,1,345
2017-12-06,62,42,52.0,0.0,Wednesday,2,310
2017-12-07,65,45,55.0,0.0,Thursday,3,348
2017-12-08,62,43,52.5,0.0,Friday,4,424
2017-12-09,63,43,53.0,0.0,Saturday,5,385
2017-12-10,63,42,52.5,0.0,Sunday,6,355
2017-12-11,65,44,54.5,0.0,Monday,0,372
2017-12-12,60,42,51.0,0.0,Tuesday,1,357
2017-12-13,61,41,51.0,0.0,Wednesday,2,392
2017-12-14,64,43,53.5,0.0,Thursday,3,378
2017-12-15,57,44,50.5,0.0,Friday,4,364
2017-12-16,64,49,56.5,0.0,Saturday,5,354
2017-12-17,63,48,55.5,0.0,Sunday,6,337
2017-12-18,61,44,52.5,0.0,Monday,0,384
2017-12-19,60,43,51.5,0.0,Tuesday,1,351
2017-12-20,55,47,51.0,0.04,Wednesday,2,315
2017-12-21,56,40,48.0,0.0,Thursday,3,357
2017-12-22,53,38,45.5,0.0,Friday,4,370
2017-12-23,53,43,48.0,0.0,Saturday,5,344
2017-12-24,53,47,50.0,0.0,Sunday,6,335
2017-12-25,57,44,50.5,0.0,Monday,0,298
2017-12-26,58,43,50.5,0.0,Tuesday,1,330
2017-12-27,56,43,49.5,0.0,Wednesday,2,374
2017-12-28,57,43,50.0,0.0,Thursday,3,359
2017-12-29,56,44,50.0,0.0,Friday,4,366
2017-12-30,59,43,51.0,0.0,Saturday,5,366
2017-12-31,57,45,51.0,0.0,Sunday,6,342
2018-01-01,58,45,51.5,0.0,Monday,0,440
2018-01-02,59,50,54.5,0.0,Tuesday,1,369
2018-01-03,58,51,54.5,0.3,Wednesday,2,382
2018-01-04,63,52,57.5,0.03,Thursday,3,387
2018-01-05,64,53,58.5,0.19,Friday,4,403
2018-01-06,58,48,53.0,0.0,Saturday,5,402
2018-01-07,53,47,50.0,,Sunday,6,388
2018-01-08,58,51,54.5,3.12,Monday,0,390
